arch,ts_code,entry_date,exit_date,hold_days,levels,pnl
A3,000858.SZ,2021-11-02,2021-11-24,16,1,14287.168380420073
A3,601919.SH,2021-09-29,2021-11-30,39,1,-14764.348652219924
A3,600030.SH,2021-11-17,2021-12-06,13,1,15781.336284420046
A3,000651.SZ,2021-10-28,2021-12-09,30,1,2270.266720200045
A3,600036.SH,2021-11-29,2021-12-09,8,1,14492.458866600035
A3,002129.SZ,2021-12-02,2022-01-26,38,1,125.11343948000012
A3,601888.SH,2021-11-03,2022-02-10,65,1,-3326.669865540025
A3,600111.SH,2021-12-27,2022-02-16,31,1,143.32957567000085
A3,002460.SZ,2021-12-21,2022-02-17,36,1,1988.481955140007
A3,601012.SH,2021-12-02,2022-03-01,57,1,-6790.978101599991
A3,603259.SH,2021-12-21,2022-03-17,56,1,-12628.333669679967
A3,000002.SZ,2022-03-07,2022-03-31,18,1,200.3595522200012
A3,300059.SZ,2022-02-15,2022-04-14,40,1,-767.0532772799779
A3,002594.SZ,2021-12-17,2022-05-05,88,1,-25570.273588019976
A3,000625.SZ,2021-11-17,2022-05-06,111,1,-1930.7321000799989
A3,002475.SZ,2022-02-09,2022-05-11,60,1,-1209.6533908899992
A3,300274.SZ,2022-04-15,2022-05-20,22,1,-467.51817631999984
A3,000858.SZ,2022-03-04,2022-05-30,56,1,-16906.98683321994
A3,300014.SZ,2022-03-04,2022-06-01,58,1,2581.867375200003
A3,300750.SZ,2021-12-21,2022-06-02,106,1,-49312.56608657999
A3,601012.SH,2022-03-30,2022-06-06,42,1,-39111.60232368001
A3,002415.SZ,2022-05-09,2022-06-06,19,1,3372.7968050399795
A3,300122.SZ,2022-04-15,2022-06-16,40,1,-26417.99679947995
A3,002241.SZ,2022-06-24,2022-08-05,30,1,5669.915238360059
A3,002466.SZ,2022-08-22,2022-08-24,2,1,1454.1367759999994
A3,600036.SH,2022-07-14,2022-08-31,34,1,-13648.9167801
A3,601888.SH,2022-08-09,2022-09-26,33,1,7231.670899199991
A3,000858.SZ,2022-08-01,2022-09-27,40,1,-1135.7314947399973
